"";"Выручка.руб";"Прибыль.руб";"Реализация, конт.";"Списание, конт.";"sd";"Продажи макс";"День";"Продажи мин";"День";"Списание макс";"День"
"Магазин1";18270;4266;290;193;12,1086352500621;"60";"1";"25";"5";"36";"6"
"Магазин2";24190;5150;295;135;12,0830459735946;"77";"2";"21";"1";"47";"4"
"Магазин3";21708;-560;268;188;14,506703431326;"58";"3";"20";"1";"42";"2"
"Магазин4";19558;470;254;190;16,6065582761082;"46";"5";"23";"7";"56";"7"
"Магазин5";20664;4686;287;158;15,0996688705415;"70";"7";"22";"5";"53";"6"
"Магазин6";30590;6532;322;106;14,548351984144;"68";"5";"20";"6";"36";"1"
"Магазин7";22428;-1310;252;170;13,8872079790916;"52";"4";"20";"3";"44";"6"
"Магазин8";22752;2279;237;194;16,2648533514894;"57";"7";"23";"3";"48";"5"
"Магазин9";20915;1547;235;202;15,5542887152032;"51";"2";"20";"6";"55";"3"
"Магазин10";17766;288;189;159;12,0096115353815;"34";"2";"20";"1";"44";"1"
"Итого";218841;23348;2629;1695;142,668925366942;"";"";"";"";"";""
"Среднее";21884,1;2334,8;262,9;169,5;14,2668925366942;"";"";"";"";"";""
