"";"Выручка.руб";"Прибыль.руб";"Реализация, конт.";"Списание, конт.";"sd";"Продажи макс";"День";"Продажи мин";"День";"Списание макс";"День"
"Магазин1.1";33152;10616;296;107;12,8030302045095;"60";"7";"27";"6";"22";"3"
"Магазин2.1";37206;7896;318;92;11,5564865314844;"61";"1";"28";"5";"24";"4"
"Магазин3.1";24384;1143;254;127;16,2298959888695;"67";"5";"20";"6";"49";"4"
"Магазин4.1";25899;6389;291;89;14,1219391963946;"55";"2";"28";"7";"25";"2"
"Магазин5.1";27612;-6798;234;256;15,742178263207;"62";"5";"21";"1";"57";"1"
"Магазин6.1";19844;-638;242;231;17,4747717312365;"74";"1";"21";"7";"58";"7"
"Магазин7.1";23387;1166;257;147;14,34951207296;"51";"4";"23";"2";"42";"2"
"Магазин8.1";27063;3807;279;117;16,4629657038482;"67";"3";"24";"2";"34";"1"
"Магазин9.1";27270;4323;303;113;14,7058885448903;"66";"7";"22";"2";"41";"6"
"Магазин10.1";33300;3678;300;153;14,5329933164796;"65";"7";"21";"6";"38";"4"
"Итого.1";279117;31582;2774;1432;147,97966155388;"";"";"";"";"";""
"Среднее.1";27911,7;3158,2;277,4;143,2;14,797966155388;"";"";"";"";"";""
